pathway,ontology,frozen,locus,symbol,description,probe,added_rev3,reason
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0898,aruD,succinylglutamate 5-semialdehyde dehydrogenase ,PA0898_aruD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2266,---,probable cytochrome c precursor ,PA2266_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3194,edd,phosphogluconate dehydratase ,PA3194_edd_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5410,---,"probable ring hydroxylating dioxygenase, alpha-subunit ",PA5410_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2482,---,probable cytochrome c ,PA2482_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3192,gltR,two-component response regulator GltR ,PA3192_gltR_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1318,cyoB,cytochrome o ubiquinol oxidase subunit I ,PA1318_cyoB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1602,---,probable oxidoreductase ,PA1602_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3710,---,probable GMC-type oxidoreductase ,PA3710_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2645,nuoJ,NADH dehydrogenase I chain J ,PA2645_nuoJ_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1480,ccmF,cytochrome C-type biogenesis protein CcmF ,PA1480_ccmF_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2321,---,gluconokinase ,PA2321_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2639,nuoD,"NADH dehydrogenase I chain C,D ",PA2639_nuoD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5173,arcC,carbamate kinase ,PA5173_arcC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2085,---,probable ring-hydroxylating dioxygenase small subunit ,PA2085_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3459,---,probable glutamine amidotransferase ,PA3459_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3181,---,2-keto-3-deoxy-6-phosphogluconate aldolase ,PA3181_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1552,---,probable cytochrome c ,PA1552_at,,
