pathway,ontology,frozen,locus,symbol,description,probe,added_rev3,reason
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2052,cynS,cyanate lyase ,PA2052_cynS_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3589,---,probable acyl-CoA thiolase ,PA3589_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5063,ubiE,ubiquinone biosynthesis methyltransferase UbiE ,PA5063_ubiE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2612,serS,seryl-tRNA synthetase ,PA2612_serS_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5440,---,probable peptidase ,PA5440_at,,
Motility,PseudoCAP,2026-09-08,PA5040,pilQ,type 4 fimbrial biogenesis protein PilQ ,PA5040_pilQ_at,,
Motility,PseudoCAP,2026-09-08,PA1094,fliD,flagellar capping protein FliD ,PA1094_fliD_at,,
Motility,PseudoCAP,2026-09-08,PA1085,flgJ,flagellar protein FlgJ ,PA1085_flgJ_at,,
Motility,PseudoCAP,2026-09-08,PA1453,flhF,flagellar biosynthesis protein FlhF ,PA1453_flhF_at,,
Motility,PseudoCAP,2026-09-08,PA5072,---,probable chemotaxis transducer ,PA5072_at,,
Motility,PseudoCAP,2026-09-08,PA4556,pilE,type 4 fimbrial biogenesis protein PilE ,PA4556_pilE_at,,
Motility,PseudoCAP,2026-09-08,PA3703,wspF,probable methylesterase ,PA3703_at,,
Motility,PseudoCAP,2026-09-08,PA1101,fliF,flagellar M-ring protein ,PA1101_fliF_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4150,---,probable dehydrogenase E1 component ,PA4150_at,,
Motility,PseudoCAP,2026-09-08,PA4084,cupB3,probable fimbrial biogenesis usher protein ,PA4084_at,,
Motility,PseudoCAP,2026-09-08,PA4555,pilY2,type 4 fimbrial biogenesis protein PilY2 ,PA4555_pilY2_at,,
Motility,PseudoCAP,2026-09-08,PA3805,pilF,type 4 fimbrial biogenesis protein PilF ,PA3805_pilF_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3167,serC,3-phosphoserine aminotransferase ,PA3167_serC_at,,
Motility,PseudoCAP,2026-09-08,PA4082,cupB5,probable adhesin ,PA4082_at,,
Motility,PseudoCAP,2026-09-08,PA2129,cupA2,probable pili assembly chaperone ,PA2129_at,,
Motility,PseudoCAP,2026-09-08,PA3706,wspC,probable protein methyltransferase ,PA3706_at,,
Motility,PseudoCAP,2026-09-08,PA1461,motD,probable chemotaxis protein ,PA1461_at,,
Motility,PseudoCAP,2026-09-08,PA3704,wspE,probable chemotaxis sensor,PA3704_at,,
Motility,PseudoCAP,2026-09-08,PA4953,motB,chemotaxis protein MotB ,PA4953_motB_at,,
Motility,PseudoCAP,2026-09-08,PA4310,pctB,chemotactic transducer PctB ,PA4310_pctB_at,,
Motility,PseudoCAP,2026-09-08,PA1083,flgH,flagellar L-ring protein precursor FlgH ,PA1083_flgH_at,,
Motility,PseudoCAP,2026-09-08,PA3705,wspD,hypothetical protein ,PA3705_at,,
Motility,PseudoCAP,2026-09-08,PA0414,chpB,probable methylesterase ,PA0414_at,,
Motility,PseudoCAP,2026-09-08,PA1100,fliE,flagellar hook-basal body complex protein FliE ,PA1100_fliE_at,,
Motility,PseudoCAP,2026-09-08,PA1251,---,probable chemotaxis transducer ,PA1251_at,,
Motility,PseudoCAP,2026-09-08,PA2652,---,probable chemotaxis transducer ,PA2652_at,,
Motility,PseudoCAP,2026-09-08,PA4633,---,probable chemotaxis transducer ,PA4633_at,,
Motility,PseudoCAP,2026-09-08,PA1464,---,probable purine-binding chemotaxis protein ,PA1464_at,,
Motility,PseudoCAP,2026-09-08,PA1084,flgI,flagellar P-ring protein precursor FlgI ,PA1084_flgI_at,,
Motility,PseudoCAP,2026-09-08,PA2561,---,probable chemotaxis transducer ,PA2561_at,,
Motility,PseudoCAP,2026-09-08,PA1105,fliJ,flagellar protein FliJ ,PA1105_fliJ_at,,
Motility,PseudoCAP,2026-09-08,PA1103,---,probable flagellar assembly protein ,PA1103_at,,
Motility,PseudoCAP,2026-09-08,PA4086,cupB1,probable pilin ,PA4086_at,,
Motility,PseudoCAP,2026-09-08,PA0178,---,probable two-component sensor ,PA0178_at,,
Motility,PseudoCAP,2026-09-08,PA0413,chpA,still frameshift probable component of chemotactic signal transduction system ,PA0413_at,,
Motility,PseudoCAP,2026-09-08,PA1646,---,probable chemotaxis transducer ,PA1646_at,,
Motility,PseudoCAP,2026-09-08,PA0179,---,probable two-component response regulator ,PA0179_at,,
Motility,PseudoCAP,2026-09-08,PA4549,fimT,type 4 fimbrial biogenesis protein FimT ,PA4549_fimT_at,,
Motility,PseudoCAP,2026-09-08,PA1460,motC,probable chemotaxis transmembrane proton channel ,PA1460_at,,
Motility,PseudoCAP,2026-09-08,PA0417,chpE,probable chemotaxis protein ,PA0417_at,,
Motility,PseudoCAP,2026-09-08,PA4527,pilC,still frameshift type 4 fimbrial biogenesis protein PilC ,PA4527_pilC_at,,
Motility,PseudoCAP,2026-09-08,PA1561,aer,aerotaxis receptor Aer ,PA1561_aer_at,,
Motility,PseudoCAP,2026-09-08,PA1099,fleR,two-component response regulator ,PA1099_fleR_at,,
Motility,PseudoCAP,2026-09-08,PA4651,---,probable pili assembly chaperone ,PA4651_at,,
Motility,PseudoCAP,2026-09-08,PA1423,---,probable chemotaxis transducer ,PA1423_at,,
Motility,PseudoCAP,2026-09-08,PA1454,fleN,flagellar synthesis regulator FleN ,PA1454_at,,
Motility,PseudoCAP,2026-09-08,PA0180,---,probable chemotaxis transducer ,PA0180_at,,
Motility,PseudoCAP,2026-09-08,PA2960,pilZ,type 4 fimbrial biogenesis protein PilZ ,PA2960_pilZ_at,,
Motility,PseudoCAP,2026-09-08,PA3707,wspB,hypothetical protein ,PA3707_at,,
Motility,PseudoCAP,2026-09-08,PA2788,---,probable chemotaxis transducer ,PA2788_at,,
Motility,PseudoCAP,2026-09-08,PA0416,chpD,probable transcriptional regulator ,PA0416_at,,
Motility,PseudoCAP,2026-09-08,PA0177,---,probable purine-binding chemotaxis protein ,PA0177_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0230,pcaB,"3-carboxy-cis,cis-muconate cycloisomerase ",PA0230_pcaB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3816,cysE,O-acetylserine synthase ,PA3816_cysE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2924,hisQ,histidine transport system permease HisQ ,PA2924_hisQ_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3024,---,probable carbohydrate kinase ,PA3024_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2508,catC,muconolactone delta-isomerase ,PA2508_catC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2445,gcvP2,glycine cleavage system protein P2 ,PA2445_gcvP2_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3809,fdx2,ferredoxin [2Fe-2S] ,PA3809_fdx2_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3175,---,probable arginase family protein ,PA3175_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2932,morB,morphinone reductase ,PA2932_morB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3878,narX,two-component sensor NarX ,PA3878_narX_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4829,lpd3,dihydrolipoamide dehydrogenase 3 ,PA4829_lpd3_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5358,ubiA,4-hydroxybenzoate-octaprenyl transferase ,PA5358_ubiA_at,,
Motility,PseudoCAP,2026-09-08,PA4290,---,probable chemotaxis transducer ,PA4290_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4091,hpaA,4-hydroxyphenylacetate 3-monooxygenase large chain ,PA4091_hpaA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4127,hpcG,"2-oxo-hept-3-ene-1,7-dioate hydratase ",PA4127_hpcG_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4758,carA,carbamoyl-phosphate synthase small chain ,PA4758_carA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2344,mtlZ,fructokinase ,PA2344_mtlZ_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4152,---,probable hydrolase ,PA4152_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0607,rpe,ribulose-phosphate 3-epimerase ,PA0607_rpe_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0155,pcaR,transcriptional regulator PcaR ,PA0155_pcaR_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1726,bglX,periplasmic beta-glucosidase ,PA1726_bglX_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0447,gcdH,glutaryl-CoA dehydrogenase ,PA0447_gcdH_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2356,msuD,methanesulfonate sulfonatase MsuD ,PA2356_msuD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3490,---,probable ferredoxin ,PA3490_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0555,fda,"fructose-1,6-bisphosphate aldolase ",PA0555_fda_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4957,psd,phosphatidylserine decarboxylase ,PA4957_psd_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0865,hpd,4-hydroxyphenylpyruvate dioxygenase ,PA0865_hpd_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5308,lrp,leucine-responsive regulatory protein ,PA5308_lrp_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3563,fruR,fructose transport system repressor FruR ,PA3563_fruR_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5278,dapF,diaminopimelate epimerase ,PA5278_dapF_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3987,leuS,leucyl-tRNA synthetase ,PA3987_leuS_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4748,tpiA,triosephosphate isomerase ,PA4748_tpiA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0211,mdcD,malonate decarboxylase beta subunit ,PA0211_mdcD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3116,---,probable aspartate-semialdehyde dehydrogenase ,PA3116_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3415,---,probable dihydrolipoamide acetyltransferase ,PA3415_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4901,mdlC,benzoylformate decarboxylase ,PA4901_mdlC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2165,---,probable glycogen synthase ,PA2165_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3475,pheC,cyclohexadienyl dehydratase precursor ,PA3475_pheC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3131,---,probable aldolase ,PA3131_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3997,lipB,lipoate-protein ligase B ,PA3997_lipB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0212,mdcE,malonate decarboxylase gamma subunit ,PA0212_mdcE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0008,glyS,glycyl-tRNA synthetase beta chain ,PA0008_glyS_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3584,glpD,glycerol-3-phosphate dehydrogenase ,PA3584_glpD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4449,hisG,ATP-phosphoribosyltransferase ,PA4449_hisG_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2787,cpg2,carboxypeptidase G2 precursor ,PA2787_cpg2_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2342,mtlD,mannitol dehydrogenase ,PA2342_mtlD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0608,---,probable phosphoglycolate phosphatase ,PA0608_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4772,---,probable ferredoxin ,PA4772_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5170,arcD,arginine,PA5170_arcD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4626,hprA,glycerate dehydrogenase ,PA4626_hprA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3171,ubiG,3-demethylubiquinone-9 3-methyltransferase ,PA3171_ubiG_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4180,---,probable acetolactate synthase large subunit ,PA4180_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0288,speB1,agmatinase ,PA0288_speB1_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3588,---,probable porin ,PA3588_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5066,hisI,phosphoribosyl-AMP cyclohydrolase ,PA5066_hisI_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1949,rbsR,ribose operon repressor RbsR ,PA1949_rbsR_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2952,etfB,electron transfer flavoprotein beta-subunit ,PA2952_etfB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0231,pcaD,beta-ketoadipate enol-lactone hydrolase ,PA0231_pcaD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5203,gshA,glutamate--cysteine ligase ,PA5203_gshA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2648,nuoM,NADH dehydrogenase I chain M ,PA2648_nuoM_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4123,hpcC,5-carboxy-2-hydroxymuconate semialdehyde dehydrogenase ,PA4123_hpcC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1794,glnS,glutaminyl-tRNA synthetase ,PA1794_glnS_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2862,lipA,lactonizing lipase precursor ,PA2862_lipA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0761,nadB,L-aspartate oxidase ,PA0761_nadB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3418,ldh,leucine dehydrogenase ,PA3418_ldh_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0247,pobA,p-hydroxybenzoate hydroxylase ,PA0247_pobA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5415,glyA1 /// glyA2,serine hydroxymethyltransferase ,PA5415_glyA1_s_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2623,icd,isocitrate dehydrogenase ,PA2623_icd_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1838,cysI,sulfite reductase ,PA1838_cysI_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1927,metE,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase ,PA1927_metE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1950,rbsK,ribokinase ,PA1950_rbsK_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5413,ltaA,low specificity l-threonine aldolase ,PA5413_ltaA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0232,pcaC,gamma-carboxymuconolactone decarboxylase ,PA0232_pcaC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5491,---,probable cytochrome ,PA5491_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2517,xylY,"toluate 1,2-dioxygenase beta subunit ",PA2517_xylY_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3758,---,probable N-acetylglucosamine-6-phosphate deacetylase ,PA3758_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3482,metG,methionyl-tRNA synthetase ,PA3482_metG_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1779,---,assimilatory nitrate reductase ,PA1779_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0893,argR,transcriptional regulator ArgR ,PA0893_argR_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0743,---,probable 3-hydroxyisobutyrate dehydrogenase ,PA0743_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1376,aceK,isocitrate dehydrogenase kinase,PA1376_aceK_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4126,---,probable MFS transporter ,PA4126_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4694,ilvC,ketol-acid reductoisomerase ,PA4694_ilvC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1883,---,probable NADH-ubiquinone,PA1883_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4920,nadE,NH3-dependent NAD synthetase ,PA4920_nadE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5039,aroK,shikimate kinase ,PA5039_aroK_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0183,atsA,arylsulfatase ,PA0183_atsA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1750,---,phospho-2-dehydro-3-deoxyheptonate aldolase ,PA1750_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1795,cysS,cysteinyl-tRNA synthetase ,PA1795_cysS_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2194,hcnB,hydrogen cyanide synthase HcnB ,PA2194_hcnB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5092,hutI,imidazolone-5-propionate hydrolase HutI ,PA5092_hutI_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5323,argB,acetylglutamate kinase ,PA5323_argB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2744,thrS,threonyl-tRNA synthetase ,PA2744_thrS_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0393,proC,pyrroline-5-carboxylate reductase ,PA0393_proC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0210,mdcC,malonate decarboxylase delta subunit ,PA0210_mdcC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3184,---,probable transcriptional regulator ,PA3184_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2444,glyA2,serine hydroxymethyltransferase ,PA2444_glyA2_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1393,cysC,adenosine 5'-phosphosulfate (APS) kinase ,PA1393_cysC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3166,pheA,chorismate mutase ,PA3166_pheA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4732,pgi,glucose-6-phosphate isomerase ,PA4732_pgi_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1685,masA,enolase-phosphatase E-1 ,PA1685_masA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2323,---,probable glyceraldehyde-3-phosphate dehydrogenase ,PA2323_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1250,aprI,alkaline proteinase inhibitor AprI ,PA1250_aprI_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3478,rhlB,rhamnosyltransferase chain B ,PA3478_rhlB_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1702,---,conserved hypothetical protein in type III secretion ,PA1702_i_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA2258,ptxR,transcriptional regulator PtxR ,PA2258_ptxR_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0681,---,probable type II secretion system protein ,PA0681_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA2866,mttC,secretion protein MttC ,PA2866_mttC_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA5068,tatA,translocation protein TatA ,PA5068_tatA_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3105,xcpQ,general secretion pathway protein D ,PA3105_xcpQ_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1705,pcrG,regulator in type III secretion ,PA1705_pcrG_i_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1770,ppsA,phosphoenolpyruvate synthase ,PA1770_ppsA_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0682,---,probable type II secretion system protein ,PA0682_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA4559,lspA,prolipoprotein signal peptidase ,PA4559_lspA_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA4974,---,probable secretion protein ,PA4974_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3098,xcpW,general secretion pathway protein J ,PA3098_xcpW_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0041,---,probable hemagglutinin ,PA0041_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3101,xcpT,general secretion pathway protein G ,PA3101_xcpT_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1871,lasA,LasA protease precursor ,PA1871_lasA_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0678,---,probable type II secretion system protein ,PA0678_i_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1724,pscK,type III export protein PscK ,PA1724_pscK_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1716,pscC,type III secretion protein PscC ,PA1716_pscC_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3104,xcpP,secretion protein XcpP ,PA3104_xcpP_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0984,---,colicin immunity protein ,PA0984_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA2676,---,probable type II secretion system protein ,PA2676_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1722,pscI,type III export protein PscI ,PA1722_pscI_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1247,aprE,alkaline protease secretion protein AprE ,PA1247_aprE_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1248,aprF,alkaline protease secretion protein AprF ,PA1248_aprF_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1696,pscO,translocation protein in type III secretion ,PA1696_pscO_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1698,popN,outer membrane protein PopN ,PA1698_popN_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0684,---,probable type II secretion system protein ,PA0684_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA5128,secB,secretion protein SecB ,PA5128_secB_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0985,---,probable colicin-like toxin ,PA0985_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA4457,---,conserved hypothetical protein ,PA4457_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3724,lasB,elastase LasB ,PA3724_lasB_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3479,rhlA,rhamnosyltransferase chain A ,PA3479_rhlA_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1150,pys2,pyocin S2 ,PA1150_pys2_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1693,pscR,translocation protein in type III secretion ,PA1693_pscR_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3404,---,probable secretion protein ,PA3404_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3831,pepA,leucine aminopeptidase ,PA3831_pepA_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA5210,---,probable secretion pathway ATPase ,PA5210_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA5112,estA,esterase EstA ,PA5112_estA_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA2259,ptxS,transcriptional regulator PtxS ,PA2259_ptxS_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1699,---,conserved hypothetical protein in type III secretion ,PA1699_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3820,secF,secretion protein SecF ,PA3820_secF_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0373,ftsY,signal recognition particle receptor FtsY ,PA0373_ftsY_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA2675,---,probable type II secretion system protein ,PA2675_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0687,---,probable type II secretion system protein ,PA0687_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0843,plcR,phospholipase accessory protein PlcR precursor ,PA0843_plcR_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3096,xcpY,general secretion pathway protein L ,PA3096_xcpY_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3097,xcpX,general secretion pathway protein K ,PA3097_xcpX_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0685,---,probable type II secretion system protein ,PA0685_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA4304,---,probable type II secretion system protein ,PA4304_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA4243,secY,secretion protein SecY ,PA4243_secY_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1690,pscU,translocation protein in type III secretion ,PA1690_pscU_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1877,---,probable secretion protein ,PA1877_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA4528,pilD,type 4 prepilin peptidase PilD ,PA4528_pilD_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA2257,pvcD,pyoverdine biosynthesis protein PvcD ,PA2257_pvcD_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0768,lepB,signal peptidase I ,PA0768_lepB_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1876,---,probable ATP-binding,PA1876_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3319,plcN,non-hemolytic phospholipase C precursor ,PA3319_plcN_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA2673,---,probable type II secretion system protein ,PA2673_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0683,---,probable type II secretion system protein ,PA0683_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0686,---,probable type II secretion system protein ,PA0686_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0767,lepA,GTP-binding protein LepA ,PA0767_lepA_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3821,secD,secretion protein SecD ,PA3821_secD_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0680,---,probable type II secretion system protein ,PA0680_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1691,pscT,translocation protein in type III secretion ,PA1691_pscT_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1382,---,probable type II secretion system protein ,PA1382_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA2254,pvcA,pyoverdine biosynthesis protein PvcA ,PA2254_pvcA_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA5069,tatB,translocation protein TatB ,PA5069_tatB_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1867,---,hypothetical protein ,PA1867_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA4276,secE,secretion protein SecE ,PA4276_secE_at,,
