ID_REF,logFC,t,P.Value,adj.P.Val,locus,sig
PA2298_at,1.21617413375,7.826353896856964,0.000546246916619441,0.022173857594634687,PA2298,True
PA2299_at,0.9220172876499992,3.4601907977760895,0.018038608600382883,0.1638506947868112,PA2299,False
PA2300_chiC_at,0.003838105349999843,0.022534590121170085,0.9828931750355674,0.9965259596864794,PA2300,False
PA2301_at,0.1825904740500004,1.081640771655217,0.32879736123511316,0.7227636778526405,PA2301,False
PA2302_at,-0.00027566229999997915,-0.0010713477950781273,0.9991866186064411,0.9995707784437029,PA2302,False
PA2303_at,0.03121120444999992,0.19726073479370768,0.8513917357252616,0.9660270328716476,PA2303,False
PA2304_at,0.32415587594999984,1.4915733280879653,0.19601322040843003,0.5850577156815513,PA2304,False
PA2305_at,0.11209943895000007,0.7184746633767721,0.5046282180377594,0.8363812241303636,PA2305,False
PA2306_at,-0.2102116784999999,-1.2887225119719607,0.2538986418887455,0.6515464670077171,PA2306,False
PA2307_at,0.060107960950000816,0.3910820353039235,0.7118459578518128,0.9233164875819249,PA2307,False
PA2308_at,0.5148194938000001,1.944649373786428,0.1094173021085672,0.43840803259331607,PA2308,False
PA2309_at,0.0360969555499997,0.2299041373802766,0.8272757479625926,0.960612557212038,PA2309,False
PA2310_at,0.1105408182500005,0.4670071891986043,0.6601379016259831,0.9058285984585616,PA2310,False
PA2311_r_at,0.70457968945,4.197749488469234,0.00850798661326371,0.10655470642614895,PA2311,False
PA2312_at,-0.10050972455000018,-0.6029772993676664,0.5728272672745797,0.868430666681381,PA2312,False
PA2313_at,-0.1775656769999996,-1.154581682892856,0.3004427023296382,0.6948549099851672,PA2313,False
PA2314_at,0.06451238020000005,0.40531963004732735,0.7020031086550758,0.9219928867228585,PA2314,False
PA2315_at,0.2556704128999998,1.6481000375585664,0.16024775326552196,0.5290063240161875,PA2315,False
PA2316_at,0.07838927504999926,0.48557936402462576,0.6477951916582202,0.897580625729822,PA2316,False
PA2317_at,-0.005964623950000192,-0.0377972564112732,0.9713120136687483,0.9940985203938076,PA2317,False
PA2318_at,0.09088344490000111,0.5697628703091102,0.5934825864008756,0.87691182439829,PA2318,False
PA2320_gntR_at,0.4386022614999998,1.9517334351460531,0.10842924159334594,0.4350473865156334,PA2320,False
PA2321_at,-0.6093194032000007,-2.827481671874884,0.03678346302708346,0.24394837511180426,PA2321,False
PA2322_at,-1.3886126426,-4.989157202441625,0.004143034541853291,0.06869267975591119,PA2322,False
PA2323_at,-0.7246669514500006,-3.210448803429089,0.023716865250743468,0.19122940940530964,PA2323,False
PA2324_at,0.050753436900000004,0.2753670703691681,0.7940514762185896,0.9519062014148348,PA2324,False
PA2325_at,0.041824082149999775,0.25281976952690616,0.8104725027906914,0.9571193705922545,PA2325,False
PA2326_at,0.20238433210000029,1.1676704719330864,0.2955873499524968,0.6908107049851584,PA2326,False
PA2327_at,0.060033333799999866,0.38298648039300537,0.7174713068877366,0.924053348898532,PA2327,False
PA2328_at,-0.24324348165000043,-1.4622486531338406,0.2035281100792029,0.5971916530040818,PA2328,False
PA2329_at,0.02645783055000006,0.16518098341931287,0.8752722781943842,0.9711271364615739,PA2329,False
PA2330_at,0.18261585309999973,1.0381917183551643,0.3467565687926492,0.7354987978066787,PA2330,False
PA2331_at,-0.01195531290000007,-0.06339455146773958,0.9519086566791747,0.988617529154029,PA2331,False
PA2332_at,-0.04686332530000037,-0.30204700705886733,0.7747764506158297,0.9444021952716097,PA2332,False
PA2333_at,-0.09424428700000043,-0.5572225379653633,0.6013976216336873,0.8797819727477451,PA2333,False
PA2334_at,0.24117567239999982,0.9062745808673678,0.40634385245538507,0.7783078150186777,PA2334,False
PA2335_at,0.13979771275000008,0.7468383782847695,0.4887697831984453,0.8281228969217181,PA2335,False
PA2336_at,0.10485059355000015,0.6407908717478548,0.549869412240347,0.8594082210426666,PA2336,False
PA2337_mtlR_at,0.1222255991499992,0.7954628566885678,0.4624187429947026,0.8150349615073593,PA2337,False
PA2338_at,0.042808355650000074,0.261397131116534,0.8042120798325084,0.9547965555015031,PA2338,False
PA2339_at,0.16313482330000006,0.9150308436524557,0.4021487146482732,0.7760005115100056,PA2339,False
PA2340_at,-0.020537851049999833,-0.13174891679957537,0.9003202631997362,0.9768224065773544,PA2340,False
PA2341_at,-0.0138045346500002,-0.07549399657740423,0.942749191245953,0.9870191639405336,PA2341,False
PA2342_mtlD_at,-0.06618743689999995,-0.3930264269981925,0.7104979310993231,0.9233164875819249,PA2342,False
PA2343_mtlY_at,0.11618347575000065,0.6970592780527343,0.516837439694339,0.8433850004784389,PA2343,False
PA2344_mtlZ_at,0.045932597350000215,0.2167374658747026,0.8369787311054658,0.9627627147326113,PA2344,False
PA2345_at,0.17495822174999986,1.0352572658127657,0.3479988089564486,0.7357400557771271,PA2345,False
PA2346_at,0.24883262455000033,1.4136970972224836,0.21658017023583248,0.6107559383701757,PA2346,False
PA2347_at,0.1857562554000003,1.1866321117987926,0.2886764954219415,0.6843923358411268,PA2347,False
PA2348_at,0.3521367623000007,2.058670619264856,0.09459308789165559,0.40375265796249804,PA2348,False
PA2349_at,0.09856356820000123,0.49412389386976785,0.6421590941064652,0.8957177877796154,PA2349,False
PA2350_at,0.20884733279999956,1.227212172365937,0.27436829962770304,0.6687173127677457,PA2350,False
PA2351_at,0.08914524465000007,0.5537350615470957,0.6036099807911289,0.8801012814699356,PA2351,False
PA2352_at,0.19883689619999956,1.0630296586644536,0.33639090474313765,0.728475667887457,PA2352,False
PA2353_at,-0.006609608599999817,-0.03799184053913821,0.9711644100072455,0.9940985203938076,PA2353,False
PA2354_at,0.11034072450000032,0.6696050497249242,0.5327831828849099,0.8495240691935472,PA2354,False
PA2355_at,0.013381367749999207,0.058656328778742835,0.955497948615644,0.988925396370607,PA2355,False
PA2356_msuD_at,-0.11902171215000035,-0.7445133071923902,0.49005630087580393,0.8286329752815231,PA2356,False
PA2357_msuE_at,0.08672360405000035,0.560379192358404,0.5993993100014791,0.8796707799607085,PA2357,False
PA2358_at,0.10370178429999966,0.6713438145886597,0.5317635680819731,0.8495240691935472,PA2358,False
PA2359_at,0.0013496929999998741,0.008700702929982648,0.9933944099345196,0.9995707784437029,PA2359,False
PA2360_at,0.08405633155000025,0.5070354019161761,0.6336940959212259,0.8897718150267977,PA2360,False
PA2361_at,0.04895534005000002,0.3175893785945114,0.7636308938755437,0.9403203852199687,PA2361,False
PA2362_at,0.2388001388500003,1.5506461197404517,0.18168092013593168,0.5628283662737337,PA2362,False
PA2363_at,0.12568773494999963,0.737806037667976,0.4937810813638864,0.8308294916730041,PA2363,False
PA2364_at,0.14911488585000043,0.9218674028216569,0.39889723115512604,0.773695819916215,PA2364,False
PA2365_at,-0.1898392722000004,-1.2350161219691573,0.27169087320561386,0.6685665309882775,PA2365,False
PA2366_at,-0.2918759299000002,-1.8933859814581526,0.1168510209412694,0.4540294519247536,PA2366,False
PA2367_at,0.12412104445000072,0.7569450555174911,0.48320553473991684,0.8265292778648552,PA2367,False
PA2368_i_at,-0.2576243725500005,-1.3257586772377188,0.24225809898716813,0.6382092002989331,PA2368,False
PA2369_at,0.4297649137499997,1.7543775233973913,0.13973194329875016,0.4914025363152176,PA2369,False
PA2370_at,0.1218309027499993,0.7832822578389985,0.468920229527934,0.8178481568844493,PA2370,False
PA2371_at,0.025374344750000333,0.12777191380563238,0.9033093551832392,0.9774235342072395,PA2371,False
PA2372_at,0.04870654469999991,0.31160098216912707,0.7679177248551742,0.9421101861479049,PA2372,False
PA2373_at,0.14089368999999863,0.8644129283917159,0.4268765324444805,0.7911194174962884,PA2373,False
PA2374_at,-0.024091240800000246,-0.15041515876752057,0.8863167440954389,0.9734987698676052,PA2374,False
PA2375_i_at,0.027131836099999695,0.13698606144912778,0.8963869212322645,0.9762367188243717,PA2375,False
PA2376_at,0.22222224540000024,1.4230979900818288,0.21399227557102868,0.6086182216614947,PA2376,False
PA2377_at,0.08800845144999947,0.5594178024222816,0.6000074936302577,0.8796707799607085,PA2377,False
PA2378_at,-1.3912706293999992,-7.141226839751382,0.0008361164734689076,0.026892795425344205,PA2378,True
PA2379_at,-0.9118431034000007,-4.039745087952931,0.009925225597700156,0.11545430408708127,PA2379,False
PA2380_at,-0.07330824429999971,-0.4500470493638741,0.6715174301627536,0.9100035492983665,PA2380,False
PA2381_at,0.6763435208999997,3.454395436298187,0.018151490747356558,0.16434665721342123,PA2381,False
PA2382_lldA_at,0.08448875510000065,0.5413375069667324,0.6115136856860935,0.8826310823806637,PA2382,False
PA2383_at,-0.16811900059999996,-0.5961622699119079,0.5770284565577586,0.8696759855192071,PA2383,False
PA2384_at,-0.0372811768500001,-0.23916961140320148,0.8204684556366538,0.9578426542611856,PA2384,False
PA2385_at,0.13109132884999974,0.6905282972507866,0.5206009183992942,0.8450466550236271,PA2385,False
PA2386_pvdA_at,0.1230893157499997,0.7897924662894027,0.4654370584471619,0.81641282802254,PA2386,False
PA2387_at,-0.05465345854999981,-0.3463747988986496,0.7431610234113258,0.9330925994737957,PA2387,False
PA2388_at,0.00035472745000042494,0.0022451700722109233,0.9982954385600655,0.9995707784437029,PA2388,False
PA2389_at,-0.039280951949999476,-0.2526340523223435,0.8106082335036338,0.9571193705922545,PA2389,False
PA2390_at,0.17008431635000054,0.9770986081492509,0.3733949142917697,0.7533084223804706,PA2390,False
PA2391_at,0.2744237222999999,1.42415863604253,0.2137021494466558,0.6086182216614947,PA2391,False
PA2392_at,-0.18550503099999993,-0.9156646130165625,0.40184641074476435,0.7760005115100056,PA2392,False
